iter	RMSE
0	13.9671899
1	13.09529819
2	12.27946973
3	11.50755234
4	10.83455058
5	10.33218449
6	9.848051915
7	9.443249191
8	9.038709245
9	8.621346621
10	8.236742239
11	7.927635672
12	7.688108739
13	7.418643238
14	7.202477075
15	7.004305842
16	6.825774018
17	6.642636146
18	6.488361889
19	6.342494723
20	6.234830307
21	6.138549853
22	6.038101244
23	5.961950568
24	5.884909226
25	5.832230733
26	5.75805061
27	5.705517861
28	5.653573505
29	5.598729601
30	5.541747014
31	5.504666308
32	5.459408728
33	5.422912477
34	5.381675887
35	5.354567107
36	5.329045402
37	5.298636317
38	5.271306171
39	5.267692019
40	5.241774699
41	5.22750508
42	5.207936125
43	5.205359271
44	5.189382547
45	5.174611479
46	5.157369742
47	5.138214611
48	5.12060591
49	5.095043945
50	5.086845027
51	5.072752199
52	5.053646299
53	5.041130094
54	5.028877469
55	5.017230339
56	5.009959914
57	4.993116913
58	4.979722536
59	4.968272782
60	4.958589687
61	4.950872509
62	4.936957778
63	4.930702879
64	4.923077024
65	4.907887967
66	4.894549114
67	4.890568695
68	4.887176619
69	4.873360091
70	4.863848641
71	4.851227596
72	4.839440141
73	4.827345023
74	4.818953317
75	4.810114888
76	4.795617584
77	4.789342434
78	4.775106145
79	4.763800809
80	4.754340714
81	4.7445739
82	4.730237689
83	4.724081779
84	4.71469627
85	4.707479821
86	4.701238309
87	4.691081189
88	4.687549367
89	4.68054973
90	4.668409815
91	4.661066587
92	4.654416691
93	4.649691785
94	4.639250331
95	4.627127175
96	4.618076151
97	4.603213487
98	4.600788299
99	4.595197544
