iter	Passed	Remaining
0	46	4639
1	47	2317
2	47	1540
3	47	1150
4	48	917
5	48	761
6	49	651
7	49	567
8	49	502
9	50	450
10	50	407
11	50	372
12	51	342
13	51	316
14	51	293
15	52	273
16	52	256
17	52	240
18	53	226
19	53	214
20	53	202
21	54	192
22	54	182
23	54	174
24	55	165
25	55	158
26	56	151
27	56	144
28	56	138
29	57	133
30	57	127
31	57	122
32	58	117
33	58	113
34	58	109
35	59	105
36	59	101
37	59	97
38	60	94
39	60	90
40	60	87
41	60	84
42	61	81
43	61	78
44	61	75
45	62	73
46	62	70
47	63	68
48	63	65
49	63	63
50	64	61
51	64	59
52	64	57
53	65	55
54	65	53
55	65	51
56	65	49
57	66	48
58	66	46
59	67	44
60	67	43
61	67	41
62	68	39
63	68	38
64	68	37
65	69	35
66	69	34
67	69	32
68	70	31
69	70	30
70	71	29
71	71	27
72	71	26
73	72	25
74	72	24
75	72	22
76	73	21
77	73	20
78	73	19
79	74	18
80	74	17
81	74	16
82	75	15
83	75	14
84	75	13
85	76	12
86	76	11
87	76	10
88	77	9
89	77	8
90	77	7
91	78	6
92	78	5
93	78	5
94	79	4
95	79	3
96	79	2
97	80	1
98	80	0
99	80	0
